user,item,purchase,timestamp
Samantha Hays,water,0,2024-08-12 23:16:40
Richard Miller,certainly,1,2024-06-04 10:20:46
Joseph Jones,bank,0,2024-08-10 04:06:27
Karen Clark,generation,1,2024-05-02 09:48:01
Joseph Jones,government,1,2024-07-13 04:09:52
Harry Harrell,plant,1,2024-10-12 13:46:41
Colleen Reynolds,generation,0,2023-12-11 23:42:28
John Hernandez,program,1,2024-02-04 03:40:41
Eric Smith,example,1,2024-03-21 12:26:22
Jared Berry,water,1,2024-10-19 08:57:11
Jennifer Valentine,wind,0,2024-11-11 18:21:13
Gilbert Hall,bank,1,2024-03-16 12:26:10
Mark Williams,water,1,2024-06-23 02:29:32
Diane Harding,government,1,2024-03-02 00:07:16
Debra Davis,pass,1,2024-08-28 00:13:14
Stephanie James,station,0,2024-05-09 22:39:20
Jessica Brown,join,1,2024-04-16 12:26:29
Jonathan Myers,possible,1,2024-08-31 02:10:56
Evan King,various,1,2024-06-01 10:01:31
Jessica Perez,today,1,2024-10-11 23:51:57
Dana Fisher,consider,1,2024-01-27 12:34:40
Richard Rodriguez,question,1,2023-11-30 14:20:42
Ronald Mcbride,enter,1,2024-10-31 04:41:13
Heather Heath,enter,0,2024-10-18 08:41:14
Christian Thompson,research,0,2024-04-24 22:17:30
Bradley Diaz,soon,0,2024-02-03 04:55:34
Laura Bray DDS,start,1,2024-09-13 13:51:37
John Hernandez,strategy,1,2024-04-26 13:36:26
Jasmine Terry,various,1,2024-01-16 14:29:32
Mark Williams,coach,1,2024-07-18 08:31:55
Ellen Solomon,start,0,2024-07-27 01:10:54
Miguel Barber,research,1,2024-01-16 02:48:02
Jasmine Terry,fear,1,2024-09-06 01:46:23
Paige Murphy,reflect,1,2024-09-29 04:00:02
Christian Thompson,race,1,2024-07-16 16:09:12
Valerie Smith,clearly,1,2024-06-15 08:28:10
Bradley Diaz,government,0,2024-05-12 13:54:19
Jared Berry,sing,0,2023-12-23 18:40:06
Dakota Johns,include,1,2024-06-03 09:26:38
Ellen Solomon,clearly,0,2024-08-09 17:46:39
Allison Franklin,possible,0,2023-12-23 04:45:58
Crystal Goodwin,start,0,2024-08-16 12:55:15
Cynthia Ramirez,wind,1,2023-12-05 22:10:42
Jessica Perez,act,1,2024-04-29 00:41:25
Gilbert Hall,ten,0,2024-08-07 18:26:20
Allison Franklin,start,0,2024-06-27 13:08:20
Mr. Lawrence Valencia DVM,popular,1,2024-01-13 20:58:10
Dana Fisher,popular,0,2024-09-04 01:52:22
Paige Murphy,join,0,2023-11-17 16:53:54
Joy Mathews,above,1,2023-12-29 09:16:14
Valerie Smith,religious,0,2024-05-03 14:01:05
David Ballard,research,1,2024-02-24 06:42:31
Samantha Hays,floor,0,2023-12-14 18:22:49
Susan Cole,strategy,1,2024-04-02 15:14:55
Vanessa Simpson,join,0,2024-03-08 18:43:31
Christopher Hernandez,join,0,2024-10-13 16:16:03
Karen Clark,scientist,1,2024-08-21 05:49:40
Bradley Diaz,popular,1,2023-11-12 21:58:44
Cheryl King,various,0,2023-12-13 07:56:04
Debra Davis,coach,0,2024-05-20 14:02:04
Mark Williams,enter,1,2024-09-04 00:41:37
Mark Guerra,generation,0,2024-08-30 10:06:02
Gerald Duncan,may,1,2024-03-15 06:42:56
Brian Fischer,question,0,2024-02-04 18:43:52
Bradley Diaz,each,1,2024-08-21 19:22:58
Gerald Duncan,officer,1,2024-06-18 17:52:57
Scott Campos,certainly,0,2024-05-16 05:26:09
Kenneth Hernandez,popular,1,2024-01-25 21:26:41
Zachary Jordan,possible,0,2024-02-19 23:14:17
Ronald Mcbride,according,0,2024-03-25 04:05:03
Susan Cole,certainly,0,2024-05-06 00:22:38
Cheryl King,eight,0,2024-08-12 14:16:37
Taylor Edwards,certainly,1,2024-04-09 18:25:25
Valerie Smith,movement,1,2024-05-13 22:07:38
Shannon Allen,especially,1,2024-07-09 10:16:34
Mark Williams,include,1,2024-07-18 15:57:02
Neil Martin,water,1,2024-04-27 15:32:06
Samantha Hays,religious,0,2024-02-21 08:49:42
Zachary Richards,clearly,1,2023-12-14 21:43:43
John Lester,soon,1,2024-10-21 08:02:42
Gilbert Hall,ahead,1,2024-03-27 12:36:20
Kenneth Hernandez,start,0,2024-08-05 15:29:14
Joseph Jones,research,1,2024-06-25 18:32:12
Caitlin Kerr,race,1,2024-02-07 07:45:29
Ronald Mcbride,include,0,2024-02-14 00:20:34
Laura Best,above,1,2023-12-09 14:46:41
Evan King,strategy,1,2023-12-08 07:31:58
Bradley Diaz,consider,0,2024-09-07 20:50:04
Jennifer Valentine,officer,0,2024-10-11 15:47:29
Stephanie James,fear,0,2024-10-27 09:46:13
Daniel Marsh,enter,0,2023-12-14 18:35:16
Stephanie Thomas,soon,1,2024-08-01 14:13:22
Neil Martin,ten,1,2023-12-30 16:17:11
Jared Fuller,join,1,2024-03-01 03:23:53
Gerald Duncan,government,0,2024-05-26 06:29:21
Heather Heath,offer,1,2023-12-22 11:49:25
Dakota Johns,join,0,2023-12-03 10:10:09
Cynthia Ramirez,start,1,2024-07-16 16:25:44
Vanessa Simpson,ahead,0,2024-03-31 17:21:01
Dr. Brianna Rodriguez,range,1,2023-11-14 23:24:34
Angela Harris,according,1,2024-06-02 18:34:56
Vanessa Simpson,fear,0,2024-10-26 16:53:43
Gregory Peterson,soon,0,2024-05-31 02:47:51
Denise Miller,example,1,2024-05-05 03:58:08
John Norman,plant,1,2024-05-31 09:16:50
Timothy Davis,offer,1,2024-10-25 03:54:25
Kevin Crawford,range,1,2024-04-17 08:20:19
Benjamin Martinez,floor,0,2024-01-21 16:40:45
Laura Best,offer,1,2023-11-14 04:29:35
Mary Decker,pass,1,2024-10-18 02:06:54
Bradley Diaz,especially,1,2024-04-23 12:18:51
Susan Cole,ten,0,2024-02-01 16:42:49
Joshua Ward,today,0,2024-05-22 06:31:48
Rachael King,government,0,2024-06-22 11:48:54
Brendan Collins,station,0,2024-05-08 03:29:50
Vanessa Simpson,scientist,1,2024-05-07 19:06:09
Christian Thompson,scientist,0,2024-08-07 23:04:01
Laura Bray DDS,care,0,2024-11-06 09:49:34
Brendan Collins,check,0,2024-07-23 04:59:44
Taylor Edwards,wind,1,2024-10-16 15:54:01
Laura Best,according,1,2024-07-09 06:42:58
Jonathan Myers,care,0,2024-03-20 00:41:27
Colleen Reynolds,possible,0,2024-07-24 03:07:48
Laura Best,race,1,2024-06-15 00:59:41
Gilbert Hall,care,1,2024-08-24 03:41:15
Bradley Diaz,sing,1,2023-12-01 00:41:49
John Norman,bank,1,2024-08-03 06:57:51
Zachary Richards,reflect,0,2023-12-13 14:54:12
Timothy Davis,pass,0,2024-04-03 06:26:38
Mark Williams,program,1,2024-10-15 22:54:16
Colleen Reynolds,station,0,2024-07-06 11:58:02
Joseph Jones,range,1,2023-11-29 13:05:01
Elizabeth Stewart,according,1,2023-12-29 09:45:45
Mark Williams,clearly,0,2023-12-05 22:43:05
Jonathan Robinson,reflect,1,2024-04-21 18:18:16
Denise Miller,each,1,2024-09-19 21:03:40
Richard Miller,station,1,2024-10-04 18:17:26
Michelle Thomas,certainly,0,2024-04-19 19:47:39
Kevin Crawford,example,1,2023-12-20 13:13:47
Angela Harris,water,0,2023-11-30 01:08:24
Colleen Reynolds,reflect,1,2024-03-31 09:49:54
Laura Bray DDS,reflect,1,2024-03-01 18:33:57
Richard Rodriguez,ahead,0,2024-07-03 22:46:40
Cameron Maldonado,clearly,0,2024-02-11 20:23:23
Christopher Hernandez,question,0,2024-08-15 11:53:57
Jasmine Terry,wind,0,2024-05-25 05:41:25
Mark Guerra,bank,0,2024-03-07 06:51:49
Jessica Perez,religious,0,2024-01-05 18:49:07
Brian Fischer,scientist,1,2023-12-19 22:53:10
Dr. Brianna Rodriguez,plant,0,2023-11-26 07:18:51
John Lester,scientist,1,2024-09-26 10:18:46
Jonathan Myers,above,1,2024-02-14 19:21:12
Mark Guerra,plant,0,2024-08-21 20:19:08
Cheryl King,may,0,2024-08-27 01:45:10
Allison Franklin,today,0,2023-12-10 16:41:23
Wendy Smith,water,0,2023-11-22 09:04:50
Kevin Crawford,officer,1,2024-01-12 11:37:33
Michelle Thomas,may,0,2024-04-21 07:44:37
Joshua Ward,each,1,2024-10-31 13:42:20
Laura Morgan,movement,1,2024-10-11 20:59:40
Mark Ward,various,1,2023-12-08 20:50:20
Rachael King,question,0,2024-05-13 17:28:02
Mia Lee,ten,1,2024-08-08 17:29:27
Karen Clark,floor,0,2024-06-01 14:21:55
Mr. Lawrence Valencia DVM,enter,1,2024-10-03 04:55:11
Jared Berry,care,0,2024-04-13 23:52:22
Caitlin Kerr,government,0,2024-05-30 06:25:17
Matthew Anderson,pass,1,2024-05-14 17:49:02
Jared Berry,clearly,0,2024-09-05 14:46:55
Krystal Olson,act,0,2024-01-23 18:31:04
Sara English,reflect,1,2024-07-10 11:35:27
Joy Mathews,floor,0,2024-08-17 15:09:48
Paige Murphy,reflect,1,2024-02-22 15:21:59
Bradley Diaz,according,1,2024-06-23 05:52:57
Joshua Ward,ten,0,2024-01-22 23:28:29
Ellen Solomon,water,1,2024-07-07 15:39:32
Joseph Jones,example,1,2024-05-21 23:09:02
Ellen Solomon,reflect,0,2024-04-09 11:38:27
John Lee,certainly,1,2024-07-12 08:40:50
Jessica Brown,station,0,2024-03-11 15:43:02
Colleen Reynolds,include,1,2024-10-12 05:09:03
Daniel Marsh,bank,1,2023-11-15 00:11:55
Jeffrey Cochran,join,1,2024-06-15 04:55:53
Laura Best,care,1,2024-09-01 02:01:32
Joseph Jones,sing,0,2024-01-11 20:41:15
Sara English,ten,1,2024-07-30 16:47:29
Dr. Brianna Rodriguez,reflect,1,2024-04-05 06:53:05
Dana Fisher,question,1,2024-09-13 13:22:18
Laura Morgan,various,1,2023-12-14 16:03:38
Valerie Smith,certainly,1,2023-11-19 13:55:06
Joshua Ward,movement,0,2024-04-04 18:20:53
Neil Martin,strategy,0,2023-12-29 19:17:05
Jennifer Valentine,soon,0,2023-12-08 01:55:46
Jessica Perez,government,0,2024-08-09 19:11:37
Samantha Hays,generation,1,2024-08-18 16:18:04
Susan Cole,reflect,1,2024-04-17 00:59:58
Valerie Smith,start,0,2024-03-16 18:02:42
Jasmine Terry,certainly,0,2024-02-14 02:54:03
Dr. Brianna Rodriguez,consider,0,2024-05-31 17:12:55
Joy Mathews,above,0,2024-05-25 02:57:32
Jasmine Terry,above,1,2024-05-21 22:55:56
Paige Murphy,offer,0,2024-06-16 00:42:09
Michael Weiss,pass,1,2024-05-17 00:51:50
Ellen Solomon,certainly,0,2024-07-09 16:28:37
Michael Weiss,check,0,2024-06-01 19:06:48
Paige Murphy,religious,1,2023-12-31 21:15:12
Joseph Jones,scientist,1,2024-07-24 01:57:07
Kenneth Hernandez,scientist,0,2024-03-26 17:30:21
David Ballard,pass,0,2024-03-15 13:55:55
Neil Martin,strategy,1,2024-04-16 12:22:00
Laura Bray DDS,reflect,1,2024-04-14 17:32:46
Bradley Diaz,care,1,2024-05-11 12:06:41
Mr. Lawrence Valencia DVM,especially,1,2024-03-30 11:09:18
Evan King,fear,1,2024-07-11 17:43:22
Rachael King,generation,1,2024-01-24 22:17:37
Kevin Crawford,consider,0,2024-09-24 22:36:26
Dalton Green,join,1,2024-01-27 02:07:45
Raymond Jackson,soon,1,2024-02-03 08:54:37
Rebecca Villa,consider,1,2024-02-08 11:46:34
Angela Harris,fear,0,2024-06-24 13:25:03
Kevin Crawford,consider,1,2024-10-02 12:02:10
Brendan Collins,care,0,2024-05-03 00:46:56
Raymond Jackson,wind,1,2024-05-13 03:27:56
Colleen Reynolds,ahead,1,2024-01-28 23:20:46
Matthew Anderson,government,1,2023-11-20 17:02:45
Scott Campos,ahead,1,2024-08-18 08:46:06
Cameron Maldonado,fear,0,2024-03-12 18:11:38
Mia Lee,according,1,2024-02-10 22:48:50
Mark Ward,example,0,2023-12-14 07:22:20
Mark Williams,wind,0,2024-02-19 02:58:07
Timothy Davis,especially,0,2024-03-03 20:07:03
Caitlin Kerr,pass,1,2024-10-26 12:37:34
Elizabeth Doyle,fear,0,2024-09-23 20:27:48
Keith Barrett,care,1,2024-10-12 07:27:56
Mary Decker,example,0,2023-11-18 10:59:06
Cameron Maldonado,officer,0,2024-04-05 23:27:27
Christine Sandoval,care,1,2024-03-03 12:02:15
Connie Campbell,race,1,2024-08-06 11:24:27
Krystal Olson,each,1,2024-04-06 23:45:14
Vanessa Simpson,movement,1,2024-10-27 13:47:50
Matthew Anderson,popular,1,2024-10-20 23:07:45
Susan Cole,ahead,1,2024-10-18 23:48:10
Krystal Olson,station,1,2024-01-09 05:36:17
Kevin Crawford,care,0,2024-10-04 07:04:46
Mia Lee,ahead,1,2024-03-03 00:49:54
Mark Ward,care,0,2024-07-28 06:43:46
Mary Decker,example,0,2024-09-02 19:14:50
Sara English,various,1,2024-10-19 07:57:51
Rachael King,include,1,2024-05-05 23:15:33
Neil Martin,fear,0,2024-05-29 03:24:08
Caitlin Kerr,generation,0,2024-01-31 20:26:02
Stephanie James,consider,0,2024-05-26 02:38:58
Christine Sandoval,coach,1,2024-08-15 07:56:26
Dalton Green,especially,1,2024-07-29 14:51:30
Jared Berry,soon,0,2024-09-17 11:06:02
Kyle Rivera,strategy,0,2024-03-10 10:01:59
Paige Murphy,pass,1,2024-02-21 18:52:49
Cynthia Ramirez,soon,0,2024-05-14 19:40:56
Benjamin Martinez,sing,0,2024-10-31 12:39:06
John Lee,religious,0,2023-12-27 00:30:10
Caitlin Kerr,wind,1,2023-11-28 00:52:33
Christopher Hernandez,care,0,2024-05-23 07:26:42
Gregory Peterson,consider,0,2024-03-02 13:42:31
Dana Fisher,station,0,2024-11-03 09:16:01
Karen Clark,scientist,0,2024-03-27 20:32:45
Gilbert Hall,especially,1,2024-01-17 07:11:18
John Lester,sing,1,2024-07-25 00:35:24
Sara English,care,1,2024-04-06 09:02:36
Dalton Green,include,1,2024-04-15 05:36:31
Valerie Smith,especially,0,2024-07-15 11:54:53
Cameron Maldonado,water,1,2024-07-26 15:28:31
Paige Murphy,start,1,2024-03-16 07:59:19
Mark Ward,possible,0,2024-11-05 13:49:19
Erin Hall,water,0,2024-09-14 00:54:49
Kenneth Hernandez,clearly,0,2024-05-29 08:27:37
Donna Martin,movement,0,2023-12-22 21:06:09
Crystal Goodwin,ahead,0,2024-04-13 14:41:02
Dr. Brianna Rodriguez,plant,1,2023-12-06 05:30:37
Laura Bray DDS,clearly,1,2023-12-05 18:01:12
Joy Mathews,religious,0,2024-04-04 17:54:18
Ellen Solomon,race,0,2024-07-24 09:46:07
Donna Martin,generation,0,2024-08-20 14:29:17
Rachael King,fear,1,2023-12-23 05:07:24
Heather Heath,may,1,2024-03-30 08:11:42
Diane Harding,water,0,2024-01-28 02:58:45
Jared Fuller,enter,0,2024-11-02 01:08:30
Angela Harris,include,1,2024-02-14 07:44:53
Richard Miller,according,0,2024-01-31 21:46:04
Dalton Green,floor,1,2024-01-15 03:22:49
Harry Harrell,fear,0,2024-03-10 08:07:04
Elizabeth Stewart,program,0,2024-04-04 01:25:24
Keith Barrett,sing,1,2024-08-20 08:14:22
Matthew Anderson,ten,0,2024-07-26 05:03:03
Stephanie Thomas,include,0,2024-09-18 02:58:50
Brendan Collins,pass,1,2024-10-09 07:25:19
Miguel Barber,may,1,2024-05-03 13:37:53
Scott Campos,ahead,0,2024-08-22 06:00:11
Timothy Davis,water,0,2024-01-04 06:51:28
Jonathan Robinson,today,0,2024-03-18 17:35:04
Rachael King,act,1,2024-02-19 13:37:15
Eric Smith,example,1,2024-11-10 08:34:51
Cheryl King,various,1,2024-05-13 18:45:33
Mary Decker,care,0,2024-07-13 21:47:11
Debra Davis,may,1,2024-08-11 03:16:45
Jared Fuller,popular,0,2023-12-23 06:45:24
Eric Smith,possible,1,2024-08-26 14:08:46
Gerald Duncan,today,0,2024-05-29 19:52:06
Debra Davis,movement,0,2024-04-08 00:36:55
Krystal Olson,officer,0,2024-01-11 07:59:20
Stephanie Thomas,movement,1,2024-01-14 22:33:28
Samantha Hays,offer,1,2024-02-05 23:55:10
Gerald Duncan,offer,0,2024-08-01 18:17:46
Suzanne Flynn,clearly,1,2024-08-20 17:27:53
Allison Franklin,clearly,1,2024-11-07 18:50:27
Laura Bray DDS,offer,1,2024-06-23 17:30:58
Stephanie Thomas,reflect,0,2024-03-17 13:35:25
Rebecca Villa,plant,1,2024-08-26 08:24:52
John Lee,question,0,2024-07-02 00:20:49
Shawn Johnson,scientist,0,2024-01-16 14:17:47
Rachael King,possible,0,2024-06-17 11:39:26
Joy Mathews,program,0,2024-02-03 08:42:26
Jessica Perez,consider,1,2024-01-27 22:51:32
Mark Guerra,join,1,2024-06-17 00:51:44
Benjamin Martinez,government,0,2024-07-14 10:41:43
Christian Thompson,government,0,2024-02-08 06:41:55
Mr. Lawrence Valencia DVM,consider,1,2024-03-14 15:42:18
Kenneth Hernandez,may,0,2024-07-09 18:33:00
Mark Guerra,generation,0,2024-06-04 08:25:19
Jared Berry,question,0,2024-06-12 01:26:17
Brendan Collins,range,0,2023-12-21 17:38:38
Gerald Duncan,ten,1,2024-04-25 13:01:17
Neil Martin,program,0,2023-12-25 17:34:25
Joy Mathews,consider,1,2023-12-22 17:56:44
Keith Barrett,pass,0,2024-04-25 05:02:42
Raymond Jackson,race,0,2023-11-27 11:33:01
Sara English,pass,0,2024-08-16 11:49:09
Teresa Coleman,consider,1,2024-01-25 11:34:34
Sara English,reflect,0,2024-05-05 09:55:42
Joshua Ward,act,1,2024-05-10 10:49:58
John Hernandez,above,1,2024-01-20 06:28:53
Dakota Johns,care,1,2024-08-10 12:52:22
Gregory Peterson,range,1,2024-10-28 17:01:51
Dakota Johns,pass,1,2024-10-01 10:57:18
Christopher Hernandez,generation,1,2023-11-14 04:59:44
Joseph Jones,especially,0,2024-04-19 23:59:12
Zachary Richards,certainly,0,2023-12-28 06:16:49
John Hernandez,above,1,2023-12-23 17:37:43
Brian Fischer,program,0,2024-07-22 23:55:59
Gerald Duncan,movement,0,2024-05-21 23:04:50
Laura Best,research,0,2024-05-09 13:12:55
Wendy Smith,fear,1,2024-02-22 17:09:04
Kenneth Hernandez,coach,0,2024-03-15 13:05:50
Ellen Solomon,water,1,2023-12-07 14:12:25
Kyle Rivera,ten,1,2024-03-16 20:19:51
Connie Campbell,coach,0,2024-01-31 20:07:35
Jessica Brown,possible,0,2024-02-16 01:40:20
David Ballard,according,1,2024-08-31 20:10:50
Vanessa Simpson,water,0,2024-03-31 09:55:24
Matthew Anderson,range,1,2024-11-08 17:47:32
Kevin Crawford,act,1,2024-02-08 07:53:23
Evan King,floor,0,2024-02-28 06:42:38
John Norman,movement,0,2024-08-01 12:08:12
Kenneth Hernandez,question,1,2024-02-17 12:37:54
Angela Harris,join,0,2024-05-14 03:36:08
Laura Best,generation,1,2023-11-30 01:55:43
Evan King,floor,1,2023-12-09 21:09:35
Dana Fisher,research,1,2024-05-23 19:49:57
Kenneth Hernandez,bank,1,2024-03-15 01:57:27
Eric Smith,check,1,2023-12-07 18:39:01
Miguel Barber,especially,0,2024-05-10 17:29:59
Mark Ward,floor,1,2024-11-02 23:04:05
Eric Smith,floor,0,2023-12-18 12:02:15
Cheryl King,may,0,2024-10-04 10:25:36
Zachary Richards,various,0,2024-10-31 07:57:33
Crystal Goodwin,research,0,2024-02-11 17:22:48
John Lester,may,1,2024-01-29 05:48:31
Teresa Coleman,soon,0,2024-07-04 08:47:19
Heather Heath,enter,0,2024-08-22 01:09:25
Christopher Hernandez,bank,1,2024-02-25 12:47:14
Miguel Barber,according,0,2023-12-16 18:04:42
Gabriela Mueller,enter,1,2024-08-21 02:22:57
Connie Campbell,research,0,2024-02-23 02:07:13
Michelle Thomas,water,0,2024-04-10 18:30:10
Ellen Solomon,enter,0,2024-11-10 17:16:36
Mary Decker,offer,1,2024-10-26 18:13:47
John Hernandez,offer,1,2024-06-18 20:48:44
Brian Fischer,water,0,2023-11-29 10:20:05
Eric Smith,join,0,2023-11-18 17:36:15
Shannon Allen,reflect,1,2024-04-25 23:55:41
Angela Harris,officer,1,2024-03-02 15:01:45
Kevin Crawford,program,1,2024-08-16 11:08:13
Elizabeth Stewart,offer,1,2024-04-10 17:43:57
Raymond Jackson,water,0,2024-05-14 17:59:50
Joy Mathews,clearly,1,2024-06-10 04:09:45
Jared Berry,fear,0,2023-11-19 10:19:20
John Lester,scientist,1,2024-09-13 21:57:43
Cheryl King,question,1,2024-01-09 15:35:24
Joshua Ward,reflect,0,2024-02-19 00:23:13
Jessica Brown,fear,0,2024-07-27 20:37:52
Mark Williams,example,0,2024-07-24 02:53:30
Stephanie Thomas,government,0,2024-11-11 01:47:53
Andrew Barber,strategy,0,2024-10-21 21:01:22
Sara English,movement,1,2024-08-27 16:30:11
Angela Harris,above,0,2024-04-09 14:22:54
Susan Cole,various,1,2024-05-16 05:14:32
Miguel Barber,enter,0,2024-03-13 19:54:30
Laura Morgan,consider,1,2023-12-12 21:26:49
Laura Best,range,0,2024-09-05 01:15:17
Allison Franklin,station,1,2024-09-30 16:47:22
Crystal Goodwin,movement,1,2024-08-11 01:27:02
Dalton Green,popular,0,2024-07-31 05:04:33
Rachael King,generation,0,2023-11-18 21:26:04
Laura Morgan,water,0,2024-06-27 23:18:21
Andrew Barber,various,1,2024-07-19 18:14:44
Shawn Johnson,certainly,1,2024-04-12 12:10:37
Angela Harris,officer,1,2024-05-09 16:49:21
Gabriela Mueller,may,1,2024-05-01 02:57:39
Kenneth Hernandez,ten,0,2024-05-14 07:35:47
Crystal Goodwin,pass,0,2024-06-11 16:41:46
Zachary Richards,officer,1,2024-06-11 03:02:30
Gregory Peterson,movement,1,2023-12-12 09:59:09
Scott Campos,race,0,2024-02-27 16:08:08
Shannon Allen,bank,1,2023-11-24 14:21:56
Krystal Olson,ahead,0,2024-01-02 06:20:54
Wendy Smith,government,1,2024-04-02 21:59:17
Shannon Allen,may,1,2024-03-22 03:47:16
Suzanne Flynn,various,0,2024-01-13 20:58:15
Gregory Peterson,may,0,2024-07-15 04:42:52
John Lee,popular,1,2023-12-05 18:30:10
Neil Martin,according,1,2023-12-13 02:20:07
Jared Fuller,today,0,2024-03-30 21:54:24
Sara English,plant,0,2023-11-25 14:31:27
Gabriela Mueller,each,1,2024-03-01 05:43:32
Chelsey Crawford,movement,0,2024-10-02 08:28:19
Erin Hall,reflect,0,2024-10-15 18:53:59
Jessica Brown,movement,1,2024-06-04 00:27:40
Shawn Johnson,range,0,2024-10-02 07:26:16
Cameron Maldonado,especially,0,2024-07-22 10:15:07
Neil Martin,range,1,2024-02-28 02:00:21
Andrew Barber,start,1,2024-01-02 06:20:41
Scott Campos,popular,0,2024-11-11 02:44:38
Joshua Ward,ten,1,2024-07-25 23:04:09
Daniel Marsh,above,0,2024-08-03 04:03:28
Gilbert Hall,race,0,2023-12-22 09:15:06
Brian Fischer,popular,0,2024-06-18 13:59:12
Elizabeth Doyle,various,0,2024-08-20 05:20:20
Erin Hall,today,0,2024-10-07 00:11:03
Jonathan Myers,strategy,1,2024-01-01 15:44:15
Connie Campbell,ahead,1,2024-01-01 17:43:56
Taylor Edwards,care,1,2024-10-18 15:18:21
Laura Bray DDS,research,0,2024-06-04 22:23:42
Elizabeth Doyle,generation,1,2024-09-23 23:46:07
Dakota Johns,range,1,2024-05-25 05:53:34
Valerie Smith,possible,0,2023-11-14 17:48:04
Mark Ward,offer,0,2023-12-30 10:11:21
Taylor Edwards,fear,0,2024-05-17 01:24:09
Michelle Thomas,example,0,2024-01-03 17:34:44
